"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","gender","age","value","value_type","numerator","denominator"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2013","Year","England","Country","All","18","29.2","%","5550","18980"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2014","Year","England","Country","All","18","31","%","6300","20300"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2015","Year","England","Country","All","18","32.3","%","7030","21780"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2016","Year","England","Country","All","18","33.4","%","7480","22430"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2017","Year","England","Country","All","18","34","%","7800","22910"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2018","Year","England","Country","All","18","33.9","%","7890","23260"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2019","Year","England","Country","All","18","35.5","%","8500","23950"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2020","Year","England","Country","All","18","39","%","9800","25120"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2021","Year","England","Country","All","18","40.8","%","11260","27560"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2022","Year","England","Country","All","18","39.3","%","11750","29920"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2006","Year","England","Country","Female","18","25.9","%","1520","5880"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2007","Year","England","Country","Female","18","27.8","%","1730","6240"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2008","Year","England","Country","Female","18","28.4","%","1950","6850"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2009","Year","England","Country","Female","18","30","%","2250","7490"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2010","Year","England","Country","Female","18","29","%","2350","8100"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2011","Year","England","Country","Female","18","32.1","%","2730","8500"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2012","Year","England","Country","Female","18","31.7","%","2870","9050"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2013","Year","England","Country","Female","18","33.4","%","3150","9440"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2014","Year","England","Country","Female","18","35.1","%","3530","10060"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2015","Year","England","Country","Female","18","37.5","%","4090","10900"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2016","Year","England","Country","Female","18","38.2","%","4280","11220"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2017","Year","England","Country","Female","18","39.1","%","4440","11380"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2018","Year","England","Country","Female","18","39.4","%","4510","11450"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2019","Year","England","Country","Female","18","40.8","%","4850","11900"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2020","Year","England","Country","Female","18","44.9","%","5540","12350"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2021","Year","England","Country","Female","18","47.2","%","6440","13640"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2022","Year","England","Country","Female","18","44.9","%","6630","14770"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2006","Year","England","Country","Male","18","19.8","%","1100","5570"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2007","Year","England","Country","Male","18","20.6","%","1220","5900"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2008","Year","England","Country","Male","18","21.4","%","1390","6520"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2009","Year","England","Country","Male","18","21.4","%","1560","7300"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2010","Year","England","Country","Male","18","22.2","%","1800","8110"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2011","Year","England","Country","Male","18","25.7","%","2170","8460"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2012","Year","England","Country","Male","18","24","%","2200","9180"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2013","Year","England","Country","Male","18","25.1","%","2400","9540"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2014","Year","England","Country","Male","18","27","%","2770","10240"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2015","Year","England","Country","Male","18","27","%","2940","10890"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2016","Year","England","Country","Male","18","28.6","%","3210","11210"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2017","Year","England","Country","Male","18","29.1","%","3350","11530"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2018","Year","England","Country","Male","18","28.6","%","3370","11810"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2019","Year","England","Country","Male","18","30.3","%","3650","12060"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2020","Year","England","Country","Male","18","33.3","%","4260","12770"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2021","Year","England","Country","Male","18","34.6","%","4820","13920"
"Percentage of 18-year-old state school pupils getting a higher education place","Mixed","ONS 2001 5+1","2022","Year","England","Country","Male","18","33.8","%","5120","15150"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2006","Year","England","Country","All","18","21.8","%","107780","493820"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2007","Year","England","Country","All","18","22.2","%","108510","487810"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2008","Year","England","Country","All","18","23.5","%","117000","498770"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2009","Year","England","Country","All","18","24.1","%","121820","505200"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2010","Year","England","Country","All","18","24.2","%","121710","502390"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2011","Year","England","Country","All","18","25.8","%","124340","481970"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2012","Year","England","Country","All","18","24.7","%","118150","479220"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2013","Year","England","Country","All","18","26.1","%","121900","466260"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2014","Year","England","Country","All","18","27.3","%","124820","457120"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2015","Year","England","Country","All","18","27.9","%","129080","462250"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2016","Year","England","Country","All","18","28.8","%","130200","451310"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2017","Year","England","Country","All","18","29.3","%","129860","443340"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2018","Year","England","Country","All","18","29.5","%","126300","428000"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2019","Year","England","Country","All","18","30.3","%","124680","411440"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2020","Year","England","Country","All","18","32.6","%","131120","402480"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2021","Year","England","Country","All","18","33.3","%","137210","412410"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2022","Year","England","Country","All","18","32.2","%","135460","421080"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2006","Year","England","Country","Female","18","24.6","%","59920","243840"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2007","Year","England","Country","Female","18","25.2","%","60590","240530"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2008","Year","England","Country","Female","18","27","%","66230","245160"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2009","Year","England","Country","Female","18","27.5","%","68300","248720"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2010","Year","England","Country","Female","18","27.4","%","67500","246260"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2011","Year","England","Country","Female","18","29.2","%","68890","236310"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2012","Year","England","Country","Female","18","28.2","%","66220","234860"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2013","Year","England","Country","Female","18","29.9","%","68320","228580"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2014","Year","England","Country","Female","18","31.3","%","69890","223500"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2015","Year","England","Country","Female","18","32.5","%","73540","226450"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2016","Year","England","Country","Female","18","33.6","%","74090","220380"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2017","Year","England","Country","Female","18","34.3","%","74150","216430"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2018","Year","England","Country","Female","18","34.8","%","72730","209250"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2019","Year","England","Country","Female","18","35.6","%","71690","201350"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2020","Year","England","Country","Female","18","38.6","%","75740","196050"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2021","Year","England","Country","Female","18","39.4","%","79260","201190"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2022","Year","England","Country","Female","18","38.1","%","78200","205180"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2006","Year","England","Country","Male","18","19.1","%","47860","249980"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2007","Year","England","Country","Male","18","19.4","%","47930","247280"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2008","Year","England","Country","Male","18","20","%","50770","253610"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2009","Year","England","Country","Male","18","20.9","%","53520","256480"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2010","Year","England","Country","Male","18","21.2","%","54220","256120"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2011","Year","England","Country","Male","18","22.6","%","55450","245660"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2012","Year","England","Country","Male","18","21.3","%","51930","244360"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2013","Year","England","Country","Male","18","22.5","%","53580","237680"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2014","Year","England","Country","Male","18","23.5","%","54930","233620"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2015","Year","England","Country","Male","18","23.6","%","55550","235800"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2016","Year","England","Country","Male","18","24.3","%","56110","230930"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2017","Year","England","Country","Male","18","24.6","%","55710","226910"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2018","Year","England","Country","Male","18","24.5","%","53570","218750"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2019","Year","England","Country","Male","18","25.2","%","53000","210080"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2020","Year","England","Country","Male","18","26.8","%","55370","206440"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2021","Year","England","Country","Male","18","27.4","%","57960","211220"
"Percentage of 18-year-old state school pupils getting a higher education place","White","ONS 2001 5+1","2022","Year","England","Country","Male","18","26.5","%","57260","215900"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2006","Year","England","Country","All","18","27","%","1210","4480"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2007","Year","England","Country","All","18","27.1","%","1360","5000"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2008","Year","England","Country","All","18","27.9","%","1380","4940"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2009","Year","England","Country","All","18","27.8","%","1470","5280"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2010","Year","England","Country","All","18","27.8","%","1570","5650"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2011","Year","England","Country","All","18","30.5","%","1820","5950"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2012","Year","England","Country","All","18","30.6","%","1990","6510"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2013","Year","England","Country","All","18","32","%","2150","6690"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2014","Year","England","Country","All","18","34.3","%","2370","6900"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2015","Year","England","Country","All","18","36.8","%","2630","7150"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2016","Year","England","Country","All","18","38","%","2830","7450"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2017","Year","England","Country","All","18","40.1","%","3100","7730"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2018","Year","England","Country","All","18","40.1","%","3260","8110"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2019","Year","England","Country","All","18","43.3","%","3610","8330"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2020","Year","England","Country","All","18","46.6","%","3960","8490"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2021","Year","England","Country","All","18","48.1","%","4570","9510"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2022","Year","England","Country","All","18","47.8","%","4970","10410"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2006","Year","England","Country","Female","18","32.6","%","690","2120"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2007","Year","England","Country","Female","18","29.9","%","700","2340"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2008","Year","England","Country","Female","18","32.3","%","750","2320"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2009","Year","England","Country","Female","18","32.5","%","800","2450"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2010","Year","England","Country","Female","18","32.1","%","840","2620"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2011","Year","England","Country","Female","18","35.3","%","970","2760"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2012","Year","England","Country","Female","18","34.4","%","1050","3040"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2013","Year","England","Country","Female","18","36.2","%","1110","3080"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2014","Year","England","Country","Female","18","39.4","%","1300","3300"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2015","Year","England","Country","Female","18","42.7","%","1440","3380"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2016","Year","England","Country","Female","18","42.4","%","1490","3520"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2017","Year","England","Country","Female","18","45.4","%","1640","3600"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2018","Year","England","Country","Female","18","44.7","%","1720","3850"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2019","Year","England","Country","Female","18","50","%","1950","3900"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2020","Year","England","Country","Female","18","53.8","%","2180","4060"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2021","Year","England","Country","Female","18","54.9","%","2500","4560"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2022","Year","England","Country","Female","18","55.3","%","2760","5000"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2006","Year","England","Country","Male","18","22","%","520","2360"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2007","Year","England","Country","Male","18","24.7","%","650","2650"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2008","Year","England","Country","Male","18","23.9","%","630","2620"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2009","Year","England","Country","Male","18","23.8","%","670","2820"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2010","Year","England","Country","Male","18","24","%","730","3020"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2011","Year","England","Country","Male","18","26.5","%","840","3190"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2012","Year","England","Country","Male","18","27.3","%","950","3470"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2013","Year","England","Country","Male","18","28.5","%","1030","3620"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2014","Year","England","Country","Male","18","29.6","%","1070","3600"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2015","Year","England","Country","Male","18","31.6","%","1190","3770"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2016","Year","England","Country","Male","18","34","%","1340","3930"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2017","Year","England","Country","Male","18","35.5","%","1470","4130"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2018","Year","England","Country","Male","18","36","%","1540","4270"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2019","Year","England","Country","Male","18","37.4","%","1660","4430"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2020","Year","England","Country","Male","18","40.1","%","1780","4430"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2021","Year","England","Country","Male","18","41.8","%","2070","4950"
"Percentage of 18-year-old state school pupils getting a higher education place","Any Other Ethnic Background","ONS 2001 5+1","2022","Year","England","Country","Male","18","40.8","%","2210","5420"
